"file_analysis_results"|"main"|"main"|"field_count"|"3"
"file_analysis_results"|"main"|"main"|"records_read"|"5"
"file_analysis_results"|"main"|"main"|"records_rejected_missing_fields"|"0"
"file_analysis_results"|"main"|"main"|"records_rejected_extra_fields"|"0"
"file_analysis_results"|"main"|"main"|"has_header"|"True"
"file_analysis_results"|"main"|"main"|"delimiter"|","
"file_analysis_results"|"main"|"main"|"skipinitialspace"|"False"
"file_analysis_results"|"main"|"main"|"quoting"|"QUOTE_NONE"
"file_analysis_results"|"main"|"main"|"doublequote"|"False"
"file_analysis_results"|"main"|"main"|"escapechar"|"\"
"field_analysis_results"|"field_0"|"main"|"name"|"num"
"field_analysis_results"|"field_0"|"main"|"gristle_name"|"num"
"field_analysis_results"|"field_0"|"main"|"field_number"|"0"
"field_analysis_results"|"field_0"|"main"|"type"|"integer"
"field_analysis_results"|"field_0"|"main"|"min"|"1"
"field_analysis_results"|"field_0"|"main"|"max"|"4"
"field_analysis_results"|"field_0"|"main"|"mean"|"2.50"
"field_analysis_results"|"field_0"|"main"|"median"|"2.50"
"field_analysis_results"|"field_0"|"main"|"variance"|"1.25"
"field_analysis_results"|"field_0"|"main"|"std_dev"|"1.12"
"field_analysis_results"|"field_0"|"main"|"unique_values"|"4"
"field_analysis_results"|"field_0"|"main"|"known_values"|"4"
"field_analysis_results"|"field_0"|"main"|"unknown_values"|"0"
"field_analysis_results"|"field_0"|"top_values"|"top_known_values"|"not shown - all are unique"
